taxus	id_individual
Copadichromis / sp-virginalis-kajose	CICHM16429739
Copadichromis / sp-virginalis-kajose	cichlid6978972
Fossorochromis / rostratus	ILBCDS5879566
Fossorochromis / rostratus	ILBCDS5879565
Otopharynx / argyrosoma	cichlid7050687
Otopharynx / argyrosoma	cichlid7050662
Trematocranus / placodon	CICHM16429587
Trematocranus / placodon	CICHM16429589
Copadichromis / chrysonotus	cichlid6779946
Copadichromis / chrysonotus	cichlid6779939
Mylochromis / subocularis	ILBCDS5879589
Mylochromis / subocularis	ILBCDS5879592
Lethrinops / gossei	cichlid7050711
Lethrinops / gossei	ILBCDS5422001
Alticorpus / peterdaviesi	ILBCDS5879560
Alticorpus / peterdaviesi	cichlid7020246
Protomelas / ornatus	CICHM16429608
Protomelas / ornatus	CICHM16429613
Lethrinops / lethrinus	cichlid7050676
Lethrinops / lethrinus	ILBCDS5421990
Copadichromis / virginalis	cichlid6993941
Copadichromis / virginalis	cichlid6993938
Aulonocara / sp-minutus	cichlid7020257
Aulonocara / sp-minutus	cichlid7020268
Aulonocara / sp-malembo-orange	cichlid7020186
Aulonocara / sp-malembo-orange	cichlid7020179
Aulonocara / stuartgranti	cichlid7020364
Aulonocara / stuartgranti	ILBCDS5421995
Dimidiochromis / kiwinge	cichlid6993894
Dimidiochromis / kiwinge	cichlid6994238
Aulonocara / sp-blue-orange	cichlid6994187
Aulonocara / sp-blue-orange	cichlid6994188
Mylochromis / anaphyrmus	ILBCDS5879519
Mylochromis / anaphyrmus	ILBCDS5879518
Sciaenochromis / benthicola	cichlid6994137
Sciaenochromis / benthicola	CICHM16429716
Alticorpus / geoffreyi	cichlid7020169
Alticorpus / geoffreyi	ILBCDS5438979
Placidochromis / trewavasae	cichlid7020247
Placidochromis / trewavasae	cichlid7020102
Otopharynx / speciosus	cichlid7020192
Otopharynx / speciosus	ILBCDS5879523
Tyrannochromis / nigriventer	CICHM16429683
Tyrannochromis / nigriventer	CICHM16429682
Aulonocara / saulosi	cichlid6994253
Aulonocara / saulosi	cichlid6994240
Placidochromis / elongatus	cichlid7020109
Placidochromis / elongatus	cichlid7020132
Stigmatochromis / melanchros	cichlid7020379
Stigmatochromis / melanchros	cichlid7020378
Placidochromis / longimanus	ILBCDS5879584
Placidochromis / longimanus	ILBCDS5879582
Chilotilapia / rhoadesii	cichlid7020287
Chilotilapia / rhoadesii	cichlid7020286
Cheilochromis / euchilus	CICHM16429662
Cheilochromis / euchilus	cichlid7020207
Dimidiochromis / strigatus	ILBCDS6101027
Dimidiochromis / strigatus	ILBCDS5879579
Aulonocara / sp-copper	cichlid7020262
Aulonocara / sp-copper	cichlid7020250
Otopharynx / decorus	cichlid6994212
Otopharynx / decorus	CICHM16429692
Stigmatochromis / modestus	ILBCDS6101014
Stigmatochromis / modestus	cichlid6994241
Stigmatochromis / macrorhynchos	cichlid7020249
Stigmatochromis / macrorhynchos	cichlid7020336
Copadichromis / verduyni	CICHM16429734
Copadichromis / verduyni	CICHM16429733
Otopharynx / tetrastigma	cichlid7020302
Otopharynx / tetrastigma	cichlid7050653
Buccochromis / rhoadesii	cichlid6780012
Buccochromis / rhoadesii	CICHM16429690
Placidochromis / johnstoni	ILBCDS5421991
Placidochromis / johnstoni	cichlid6994223
Mylochromis / spilostichus	cichlid7020128
Mylochromis / spilostichus	cichlid7020115
Aulonocara / rostratum	CICHM16429706
Aulonocara / rostratum	CICHM16429707
Sciaenochromis / sp-sand	cichlid7020254
Sciaenochromis / sp-sand	cichlid7020264
Stigmatochromis / pholidophorus	cichlid6994220
Stigmatochromis / pholidophorus	cichlid6994236
Stigmatochromis / woodi	cichlid7020284
Stigmatochromis / woodi	cichlid7020285
Ctenopharynx / intermedius	ILBCDS5879533
Ctenopharynx / intermedius	ILBCDS5879534
Protomelas / kirkii	cichlid6993931
Protomelas / kirkii	cichlid7020304
Chilotilapia / rhoadesii	cichlid7050624
Chilotilapia / rhoadesii	cichlid7050623
Chilotilapia / rhoadesii	cichlid7050619
Chilotilapia / rhoadesii	cichlid7050618
Protomelas / similis	CICHM16429694
Protomelas / similis	CICHM16429696
Copadichromis / borleyi	cichlid6978872
Copadichromis / borleyi	cichlid6780013
Lethrinops / argenteus	CICHM16429713
Lethrinops / argenteus	CICHM16429712
Lethrinops / sp-longimanus-red-head	cichlid7020155
Lethrinops / sp-longimanus-red-head	ILBCDS5438975
Aulonocara / ethelwynnae	cichlid6994148
Aulonocara / ethelwynnae	cichlid6994147
Aulonocara / stonemani	cichlid7020281
Aulonocara / stonemani	ILBCDS5879558
Aulonocara / sp-deep	cichlid7020265
Aulonocara / sp-deep	cichlid7020258
Lethrinops / longipinnis	cichlid7020149
Lethrinops / longipinnis	cichlid7020148
Mchenga / sp-black-yellow	cichlid7050615
Mchenga / sp-black-yellow	cichlid7020135
Otopharynx / panniculus	cichlid7020181
Otopharynx / panniculus	cichlid7020177
Placidochromis / hennydaviesae	cichlid7020263
Placidochromis / hennydaviesae	CICHM16429745
Otopharynx / selenurus	cichlid7020106
Otopharynx / selenurus	cichlid7020105
Otopharynx / brooksi	cichlid7020252
Otopharynx / brooksi	cichlid7020238
Otopharynx / sp-brooksi-nkhata	cichlid6993956
Otopharynx / sp-brooksi-nkhata	ILBCDS5421972
Sciaenochromis / fryeri	cichlid6994249
Sciaenochromis / fryeri	cichlid6993953
Ctenopharynx / pictus	cichlid6993900
Ctenopharynx / pictus	ILBCDS6101026
Protomelas / triaenodon	cichlid7050616
Protomelas / triaenodon	cichlid6994213
Otopharynx / auromarginatus	cichlid7020195
Otopharynx / auromarginatus	cichlid7020194
Buccochromis / nototaenia	CICHM16429693
Buccochromis / nototaenia	ILBCDS5879541
Otopharynx / sp-heterodon-nankumba	cichlid7050721
Otopharynx / sp-heterodon-nankumba	cichlid7050720
Hemitilapia / oxyrhynchus	ILBCDS6101015
Hemitilapia / oxyrhynchus	ILBCDS5879572
Champsochromis / caeruleus	ILBCDS5879540
Champsochromis / caeruleus	ILBCDS5879539
Tyrannochromis / macrostoma	CICHM16429687
Tyrannochromis / macrostoma	CICHM16429686
Nimbochromis / livingstonii	cichlid6994222
Nimbochromis / livingstonii	ILBCDS5421989
Hemitaeniochromis / urotaenia	cichlid6994205
Hemitaeniochromis / urotaenia	cichlid6993971
Taeniolethrinops / laticeps	CICHM16429710
Taeniolethrinops / laticeps	cichlid6993901
Taeniolethrinops / praeorbitalis	CICHM16429709
Taeniolethrinops / praeorbitalis	ILBCDS6101010
Taeniolethrinops / sp-furcicauda-yellow	CICHM16429711
Taeniolethrinops / sp-furcicauda-yellow	cichlid7020289
Tramitichromis / brevis	CICHM16429715
Tramitichromis / brevis	CICHM16429714
Tramitichromis / sp-kande	cichlid6993907
Tramitichromis / sp-kande	ILBCDS5422000
Tramitichromis / sp-east-coast-shallow	cichlid7020203
Tramitichromis / sp-east-coast-shallow	cichlid6994233
Copadichromis / pleurostigma	cichlid6978772
Copadichromis / pleurostigma	ILBCDS5879524
Aulonocara / stuartgranti	ILBCDS5421994
Alticorpus / mentale	cichlid7020232
Aulonocara / sp-yellow	cichlid7020175
Aulonocara / sp-yellow	cichlid7020174
Aulonocara / sp-malembo-orange	ILBCDS5879557
Aulonocara / sp-blue-Chilumba	ILBCDS5879550
Lethrinops / sp-blue-nose	cichlid7020130
Lethrinops / sp-blue-nose	cichlid7020129
Placidochromis / sp-blue-nose	cichlid7020110
Lethrinops / sp-six-bar	cichlid7020173
Aulonocara / nyassae	cichlid7020291
Aulonocara / sp-gold	ILBCDS5879549
Alticorpus / macrocleithrum	ILBCDS5421986
Lethrinops / sp-albus-deep-water	cichlid7020239
Placidochromis / obscurus	cichlid7020182
Lethrinops / sp-oliveri	ILBCDS5438978
Placidochromis / nkhotakotae	cichlid7020338
Lethrinops / sp-deepwater-altus	cichlid7020240
Lethrinops / sp-black-chin	cichlid7020172
Placidochromis / acutirostris	cichlid6993974
Placidochromis / polli	cichlid6993975
Placidochromis / acutirostris	cichlid6993973
Placidochromis / mbunoides	cichlid7020278
Placidochromis / boops	cichlid7020259
Mchenga / sp-chiofu	CICHM16429668
Mchenga / sp-chirombo-1	cichlid7020133
Mchenga / sp-chirombo-2	cichlid7020134
Otopharynx / decorus	cichlid6994138
Mylochromis / ensatus	CICHM16429735
Protomelas / annectens	cichlid6994203
Cyrtocara / moorii	CICHM16429665
Placidochromis / platyrhynchos	cichlid7020337
Trematocranus / sp-cape-maclear	cichlid7020176
Placidochromis / electra	ILBCDS5421988
Copadichromis / kawanga	CICHM16429731
Sciaenochromis / sp-nyassae	cichlid7020210
Stigmatochromis / pleurospilus	ILBCDS6101003
Copadichromis / trewavasae	ILBCDS5421982
Buccochromis / lepturus	cichlid6994204
Buccochromis / rhoadesii	ILBCDS5421980
Buccochromis / heterotaenia	cichlid6994251
Buccochromis / sp-whitefins	CICHM16429691
Mylochromis / obtusus	cichlid7020292
Protomelas / insignis	cichlid6993896
Mylochromis / melanonotus	cichlid7020193
Corematodus / taeniatus	CICHM16429663
Placidochromis / milomo	ILBCDS5421987
Mylochromis / labidodon	cichlid7020213
Mylochromis / subocularis	ILBCDS5879545
Mylochromis / subocularis	ILBCDS5879548
Mylochromis / ericotaenia	ILBCDS6101012
Mylochromis / mollis	cichlid6993915
Mylochromis / epichoralis	cichlid6993903
Mylochromis / guentheri	cichlid6994231
Otopharynx / lithobates	ILBCDS6101031
Protomelas / fenestratus	cichlid7020368
Protomelas / taeniolatus	cichlid6993916
Protomelas / fenestratus	cichlid6993893
Protomelas / sp-chilumba	cichlid6994206
Protomelas / spilopterus	ILBCDS5879567
Chilotilapia / rhoadesii	ILBCDS5879531
Chilotilapia / rhoadesii	ILBCDS5879530
Chilotilapia / rhoadesii	ILBCDS5879552
Chilotilapia / rhoadesii	ILBCDS5879529
Chilotilapia / rhoadesii	cichlid7050625
Protomelas / triaenodon	cichlid7050621
Chilotilapia / rhoadesii	cichlid7050620
Otopharynx / sp-deep	cichlid7020323
Protomelas / labridens	cichlid6993929
Taeniochromis / holotaenia	ILBCDS6101006
Champsochromis / caeruleus	cichlid6780010
Champsochromis / spilorhynchus	cichlid6994225
Aristochromis / christyi	CICHM16429661
Hemitaeniochromis / sp-deep	cichlid7020280
Naevochromis / chrysogaster	CICHM16429670
Hemitaeniochromis / brachyrhynchus	cichlid6993955
Nimbochromis / venustus	cichlid7020196
Nimbochromis / linni	ILBCDS5421992
Nimbochromis / polystigma	ILBCDS5421993
Dimidiochromis / compressiceps	ILBCDS5879553
Taeniolethrinops / macrorhynchus	cichlid6994211
Taeniolethrinops / furcicauda	ILBCDS6101023
Taeniolethrinops / macrorhynchus	CICHM16429708
Lethrinops / parvidens	cichlid7020290
Lethrinops / albus	ILBCDS5421998
Lethrinops / oculatus	cichlid6993917
Lethrinops / sp-longipinnis-white-lappets	cichlid7020381
Tramitichromis / intermedius	cichlid7020333
Tramitichromis / sp-red-throat	cichlid7020310
Copadichromis / quadrimaculatus	cichlid6978782
Copadichromis / sp-orange-fins	cichlid7020335
Copadichromis / quadrimaculatus	ILBCDS5438976
Copadichromis / jacksoni	cichlid6978785
Copadichromis / likomae	ILBCDS6101017
Copadichromis / ilesi	cichlid6780011
